merchant_id,category_name,category_name_new
11686,Bags,Accessoires > Herren > Taschen,
11686,Women's Dresses,Bekleidung > Damen > Kleider,
11686,Women's Footwear,Schuhe > Damen,
11686,Women's Trousers,Bekleidung > Damen > Hosen,
11686,Women's Dresses & Skirts,Bekleidung > Damen > Kleider,
13142,Frauen,Bekleidung > Damen,
13142,Frauen > Accessoires > Hüte & Mützen > Caps,Accessoires > Damen > Hüte/Mützen > Hüte,
13142,Frauen > Accessoires > Schals & Tücher > Loop Schals,Accessoires > Damen > Schals/Tücher > Schals,
13142,Frauen > Accessoires > Schals & Tücher > Schals,Accessoires > Damen > Schals/Tücher > Schals,
13142,Frauen > Accessoires > Schmuck > Ringe,Accessoires > Damen > Schmuck > Ringe,
13142,Frauen > Bekleidung,Bekleidung > Damen,
13142,Frauen > Bekleidung > Blazer > Klassische Blazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
13142,Frauen > Bekleidung > Blazer > Longblazer,Bekleidung > Damen > Kostüme & Blazer > Blazer,
13142,Frauen > Bekleidung > Blusen & Tuniken > Gemusterte Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Hemdblusen > Gemusterte Hemdblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Hemdblusen > Unifarbene Hemdblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Jeanshemden,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Kurzarmblusen > Gemusterte Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Kurzarmblusen > Hemdblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Kurzarmblusen > Unifarbene Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Longblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Spitzenblusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Tuniken > Langarmtuniken,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Blusen & Tuniken > Unifarbene Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
13142,Frauen > Bekleidung > Hosen > 3/4 Hosen,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Hosen > Bundfaltenhosen,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Hosen > Haremshosen,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Hosen > Stoffhosen > Ausgestellt,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Hosen > Stoffhosen > Gerade,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Hosen > Stoffhosen > Locker,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Hosen > Stoffhosen > Weit,Bekleidung > Damen > Hosen,
13142,Frauen > Bekleidung > Jacken > Regenjacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
13142,Frauen > Bekleidung > Jacken > Übergangsjacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
13142,Frauen > Bekleidung > Jacken > Winterjacken,Bekleidung > Damen > Jacken & Mäntel > Jacken,
