Advertiser Name;URL;file_delimiter
asos;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/23213/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cisbn%2Cmodel_number%2Cproduct_name%2Cdescription%2Cspecifications%2Cpromotional_text%2Clanguage%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Ccurrency%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_quantity%2Cproduct_type%2Ccolour%2Ccustom_1%2Ccustom_2%2CFashion%3Asuitable_for%2CFashion%3Asize%2Crating%2Calternate_image%2Cmerchant_product_category_path/;","
Vero Moda;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/20233/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cisbn%2Cmodel_number%2Cproduct_name%2Cdescription%2Cspecifications%2Clanguage%2Cmerchant_deep_link%2Cmerchant_thumb_url%2Cmerchant_image_url%2Cdelivery_time%2Cvalid_from%2Cvalid_to%2Ccurrency%2Csearch_price%2Cstore_price%2Cdelivery_cost%2Cweb_offer%2Cpre_order%2Cin_stock%2Cstock_quantity%2Cwarranty%2Ccondition%2Cparent_product_id%2Ccommission_group%2Clast_updated%2Cdimensions%2Ccolour%2Ckeywords%2Ccustom_1%2Ccustom_2%2Csaving%2CFashion%3Asuitable_for%2CFashion%3Asize%2CFashion%3Amaterial%2CFashion%3Apattern%2CFashion%3Aswatch%2Crating%2Calternate_image%2Clarge_image%2Cbasket_link%2Cproduct_short_description%2Cmerchant_product_category_path%2Cmerchant_product_second_category%2Cmerchant_product_third_category%2Csavings_percent%2Cproduct_price_old%2Calternate_image_two%2Calternate_image_three%2Calternate_image_four/;","
Hessnatur;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/32493/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cean%2Cproduct_name%2Cdescription%2Cspecifications%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Ccurrency%2Csearch_price%2Cdelivery_cost%2Ccolour%2Ckeywords%2CFashion%3Asuitable_for%2CFashion%3Asize%2Cmerchant_product_category_path%2Cproduct_price_old%2Cstock_status/;","
imwalking;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/35647/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Ccurrency%2Csearch_price%2Cdelivery_cost%2Cin_stock%2Ccolour%2CFashion%3Asuitable_for%2CFashion%3Asize%2Cmerchant_product_second_category%2Cproduct_price_old/;","
Hallhuber;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/46079/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cisbn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Cvalid_from%2Cvalid_to%2Ccurrency%2Csearch_price%2Cdelivery_cost%2Cstock_quantity%2Ccondition%2Ccolour%2Ccustom_1%2CFashion%3Asize%2CFashion%3Amaterial%2Calternate_image%2Cproduct_short_description%2Csavings_percent%2Cbase_price%2Cbase_price_amount%2Cproduct_price_old%2Cstock_status%2Calternate_image_two/;","
Guess;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/22045/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cdelivery_time%2Ccurrency%2Csearch_price%2Ccolour%2Ccustom_1%2Ccustom_2%2CFashion%3Asize%2Clarge_image%2Cproduct_price_old%2Cstock_status/;","
Humanic;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/30531/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cean%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cvalid_from%2Cvalid_to%2Ccurrency%2Csearch_price%2Cdelivery_cost%2Ccolour%2Ckeywords%2Ccustom_1%2Ccustom_2%2Ccustom_3%2Ccustom_4%2Ccustom_5%2Cdelivery_restrictions%2CFashion%3Asize%2Clarge_image%2Cproduct_short_description%2Cmerchant_product_category_path%2Cbase_price%2Cbase_price_amount%2Cbase_price_text%2Cproduct_price_old%2Cterms_of_contract%2Ccustom_6%2Ccustom_7%2Ccustom_8/;","
promod;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/27329/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_thumb_url%2Cmerchant_image_url%2Csearch_price%2Cdelivery_cost%2Ccolour%2Cdelivery_restrictions%2CFashion%3Asuitable_for%2CFashion%3Asize%2CFashion%3Amaterial%2Calternate_image%2Clarge_image%2Cproduct_price_old%2Calternate_image_two%2Calternate_image_three/;","
mirapodo;https://productdata.awin.com/datafeed/download/apikey/74184eddf378e7ff21c51b3e42ff4de6/fid/31135/format/csv/language/de/delimiter/%2C/compression/gzip/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Cvalid_from%2Cvalid_to%2Ccurrency%2Csearch_price%2Cdelivery_cost%2Cstock_quantity%2Cparent_product_id%2Ccolour%2Ckeywords%2Ccustom_1%2Ccustom_2%2Ccustom_3%2Ccustom_4%2Ccustom_5%2Cdelivery_restrictions%2CFashion%3Asuitable_for%2CFashion%3Asize%2Cproduct_short_description%2Cbase_price%2Cbase_price_amount%2Cbase_price_text%2Cproduct_price_old%2Cstock_status%2Ccustom_6%2Ccustom_7%2Ccustom_8/;","
SORBAS;https://sorbasshoes.com/wp-content/uploads/woo-product-feed-pro/csv/95d085133d0a2f685dd9c28ec48b850c.csv;","
