description;feature;column
made in Green;MADE IN GREEN by OEKO-TEX;Zertifikat-MADE IN GREEN by OEKO-TEX
nachhaltig produziert;Aus nachhaltiger Produktion;Wissenswertes-Aus nachhaltiger Produktion
aus fairer Produktion;Aus fairer Produktion;Wissenswertes-Aus fairer Produktion
Fair-Trade;Fair-Trade;Zertifikat-Fair-Trade
Pflanzenfärbung;Pflanzenfärbung;Wissenswertes-Pflanzenfärbung
nachhaltig gefertigter;Aus nachhaltiger Produktion;Wissenswertes-Aus nachhaltiger Produktion
rundum nachhaltig;Aus nachhaltiger Produktion;Wissenswertes-Aus nachhaltiger Produktion
Baumwolle für hessnatur Jeans stammt aus kontrolliert biologischem Anbau;Bio-Baumwolle;Material
Bio-Denim;Bio-Denim;Material
Recycling-Polyester;Recycled;Wissenswertes-Recycled
biologisch angebauter Baumwolle;Bio-Baumwolle;Material
Bio-Baumwolle;Bio-Baumwolle;Material
Zero Waste ;Zero Waste;Zertifikat-ZeroWaste
(organic cotton);Bio-Baumwolle;Material
organic cotton;Bio-Baumwolle;Material
Eukalyptusfaser;Eukalyptus;Material
recycelt nachhaltige Produktion;Recycled;Wissenswertes-Recycled
recycelten Polyamid;Recycled;Wissenswertes-Recycled
recyceltem;Recycled;Wissenswertes-Recycled
recycelbar;Recycelbar;Wissenswertes-Recycelbar
Recyceltes Polyester;Recycled;Wissenswertes-Recycled
recycelten PET-Flaschen;Recycled;Wissenswertes-Recycled
Recycled Polyester;Recycled;Wissenswertes-Recycled
recycelten Textilien;Recycled Texile;Wissenswertes-Recycled
Zero Waste;Zero Waste;Zertifikat-ZeroWaste
Biobaumwolle;Bio-Baumwolle;Material
Bio Baumwoll;Bio-Baumwolle;Material
Bio-Baumwoll-Mix;Bio-Baumwolle;Material
GOTS;GOTS (Global Organic Textile Standard);Zertifikat-GOTS
(GOTS);GOTS (Global Organic Textile Standard);Zertifikat-GOTS
GOTS-zertifiziert;GOTS (Global Organic Textile Standard);Zertifikat-GOTS
(GOTS-zertifiziert);GOTS (Global Organic Textile Standard);Zertifikat-GOTS
Bio Baumwolle;Bio-Baumwolle;Material
Global Organic Textile Standard;GOTS (Global Organic Textile Standard);Zertifikat-GOTS
recycelter;Recycled;Wissenswertes-Recycled
recycelte;Recycled;Wissenswertes-Recycled
recycelten;Recycled;Wissenswertes-Recycled
recycelten PET-Flaschen ;Recycled;Wissenswertes-Recycled
Obermaterial: PVC ;PVC;Material
Obermaterial: Nylon;Nylon;Material
Obermaterial: Synthetik;Synthetik;Material
Obermaterial: Textil;Textil;Material
Obermaterial aus Leinen;Leinen;Material
Obermaterial: 100% Polyester;Polyester;Material
Obermaterial: Leinen;Leinen;Material
Obermaterial: Baumwolle;Baumwolle;Material
Obermaterial: 100% Papierstroh;Papierstroh;Material
Obermaterial: 100% Polyurethan;Polyurethan;Material
Obermaterial: 100% Kunstleder;Kunstleder;Material
Obermaterial: 100% Papier;Papier;Material
Obermaterial: 100% Stroh;Stroh;Material
Obermaterial: 100% Nylon;Nylon;Material
Obermaterial: 100% Leinen;Leinen;Material
Obermaterial: 100% Stoff;Textil;Material
Material: 100% Viskose;Viskose;Material
recycelten Kaffeebohnen;Recycelte Kaffeebohnen;Wissenswertes-Recycled
Jersey-Bllazer;Jersey;Material
Kunstleder-Leggins;Kunstleder;Material
Baumwollpullover;Baumwolle;Material
Satinrock;Satin;Material
elastischer Viskose-Jersey;Viskose;Material
Hochwertiger Baumwoll-Modal;Baumwoll Modal;Material
Baumwollbluse;Baumwolle;Material
Oberstoff: 100% Polyamid;Polyamid;Material
Obermaterial: Textilkombination ;Textil;Material
Materialzusammensetzung: 100% Baumwolle;Baumwolle;Material
Material: Oberstoff: 100% Lyocell;Lyocell;Material
Materialzusammensetzung: Obermaterial: 100% Polyester;Polyester;Material
Materialzusammensetzung: Obermaterial: 100% Lyocell;Lyocell;Material
Materialzusammensetzung: Obermaterial: 100% Viskose;Viskose;Material
Materialzusammensetzung: Obermaterial: 100% Baumwolle;Baumwolle;Material
Material: Oberstoff: 100% Baumwolle;Baumwolle;Material
Aus 100% Viskose;Viskose;Material
Materialzusammensetzung: 100% Kunststoff;Kunststoff;Material
Materialzusammensetzung: Obermaterial: 100% Modal;Modal;Material
Materialzusammensetzung: Obermaterial: 100% Polyamid;Polyamid;Material
Materialzusammensetzung: Obermaterial: 100% Polyacryl;Polyacryl;Material
Materialzusammensetzung: 100% Polyester;Polyester;Material
Materialzusammensetzung: 100% Polyurethan;Polyurethan;Material
Materialzusammensetzung: 100% Polyamid;Polyamid;Material
Material: Oberstoff: 100% Polyester;Polyester;Material
Obermaterial und Futter: Textil (100% Baumwolle);Baumwolle;Material
Materialzusammensetzung: 100% Polyacryl;Polyacryl;Material
Materialzusammensetzung: 100% Viskose;Viskose;Material
Materialzusammensetzung: 100% Recyceltes Polyester;Recycled;Wissenswertes-Recycled
Materialzusammensetzung: Außenmaterial: 100% Polyester;Polyester;Material
Maschinenwäsche, 100% Baumwolle, Model trägt;Baumwolle;Material
Chemisch reinigen, 100% Polyester, Model trägt;Polyester;Material
Maschinenwäsche, 100% Polyester, Model trägt;Polyester;Material
Maschinenwäsche, 100% Viskose, Model;Viskose;Material
Maschinenwäsche, 100% Baumwolle. ASOS Menswear;Baumwolle;Material
Handwäsche, 100% Polyester, Model ;Polyester;Material
Maschinenwäsche, 100% Baumwolle, Unser Model;Baumwolle;Material
Handwäsche, 100% Baumwolle, Model;Baumwolle;Material
Chemisch reinigen, 100% Rayon, unser Model;Rayon;Material
Handwäsche, 100% Viskose, Model;Viskose;Material
Maschinenwäsche, 100% Polyurethan, Unser;Polyurethan;Material
Maschinenwäsche, 100% Acryl.;Acryl;Material
Help Refugees;Help Refugees;Zertifikat-HelpRefugees
Oeko-Tex Standard;Oeko-Tex Standard;Zertifikat-OekoTexStandard
Stoff: Baumwolle 100%;Baumwolle;Material
100% recycelbar;Recycelbar;Wissenswertes-Recycelbar
Material: 100% Organic Baumwolle;Bio-Baumwolle;Material
OEKO-TEX 100;OEKO-TEX 100;Zertifikat-OekoTex100
ÖKO TEX 100Standard;OEKO-TEX 100;Zertifikat-OekoTex100
Ökotex 100 zertifiziert;OEKO-TEX 100;Zertifikat-OekoTex100
Blauer Engel;Blauer Engel;Zertifikat-BlauerEngel
Fair Wear Foundation;Fair Wear Foundation;Zertifikat-FairWearFoundation
Bluesign;Bluesign;Zertifikat-Bluesign
Obermaterial 100 % Textil;Textil;Material
Obermaterial 100 % Polyurethan;Polyurethan;Material
Obermaterial 100 % Polyester;Polyester;Material
Zusammensetzung 100 % Viskose;Viskose;Material
7 -7 schwarz, Synthetik;Synthetik;Material
ALIVIA blau, Synthetik;Synthetik;Material
Ara Textil Pumps schwarz, Textil;Textil;Material
Ballerina pink, Synthetik;Synthetik;Material
Ballerina schwarz, Synthetik;Synthetik;Material
beige, Synthetik Lack;Synthetik;Material
Conetta grau, Textil;Textil;Material
Conetta schwarz, Textil;Textil;Material
DAISIE beige, Synthetik Lack;Synthetik;Material
DAISIE grau, Textil;Textil;Material
DAISIE multicolor, Textil;Textil;Material
Denice blau, Textil;Textil;Material
DENICE grau, Textil;Textil;Material
Flex Kitten schwarz, Synthetik;Synthetik;Material
Gabor Pumps schwarz, Synthetik;Synthetik;Material
ISABELLA blau, Textil;Textil;Material
Krizella grau, Textil;Textil;Material
Lisana schwarz, Textil;Textil;Material
LISELOTTE blau, Textil;Textil;Material
Mokassin pink, Synthetik Lack;Synthetik;Material
Mova schwarz, Textil;Textil;Material
Pumps beige, Synthetik;Synthetik;Material
Pumps blau, Synthetik;Synthetik;Material
Pumps gold, Textil;Textil;Material
Pumps grau, Synthetik;Synthetik;Material
Pumps grau, Textil;Textil;Material
Pumps pink, Lacksynthetik;Synthetik;Material
Pumps schwarz, Lacksynthetik;Synthetik;Material
Pumps schwarz, Synthetik;Synthetik;Material
Pumps schwarz, Synthetik Lack;Synthetik;Material
Pumps schwarz, Textil;Textil;Material
Pumps weiss, Lacksynthetik;Synthetik;Material
Pumps weiss, Synthetik;Synthetik;Material
Satin-Pumps weiss, Satin;Satin;Material
Sling beige, Synthetik;Synthetik;Material
Synthetik Pumps schwarz, Synthetik;Synthetik;Material
Textil Ballerina grau, Textil;Textil;Material
Textil Pumps grau, Textil;Textil;Material
Textil Slipper;Textil;Material
Textil-Pumps rot, Textil;Textil;Material
Textil-Pumps schwarz, Textil;Textil;Material
Vabene Pumps schwarz, Lacksynthetik;Synthetik;Material
Pumps pink, Synthetik Lack;Synthetik;Material
ESTER-1-1 schwarz, Synthetik;Synthetik;Material
ESTER-1-1 grau, Synthetik;Synthetik;Material
Ballerina grau, Synthetik;Synthetik;Material
Ballerina beige, Lacksynthetik;Synthetik;Material
COUTURE BLOOM grau, Synthetik;Synthetik;Material
Couture Bloom beige, Lacksynthetik;Synthetik;Material
Couture Bloom blau, Lacksynthetik;Synthetik;Material
Ballerina multicolor, Synthetik;Synthetik;Material
Ballerina gold, Synthetik;Synthetik;Material
Pumps beige, Lacksynthetik;Synthetik;Material
Pumps rot, Lacksynthetik;Synthetik;Material
Jaysen pink, Synthetik-Textil;Synthetik-Textil;Material
Sneaker pink, Textil;Textil;Material
Sneaker blau, Textil;Textil;Material
Textil-Slipper schwarz, Textil;Textil;Material
BELLA schwarz, Textil;Textil;Material
LEELYAN grau, Synthetik;Synthetik;Material
Ballerina grau, Textil;Textil;Material
Boot blau, Synthetik;Synthetik;Material
Boot pink, Synthetik;Synthetik;Material
Sneaker schwarz, Textil;Textil;Material
Sneaker rot, Textil;Textil;Material
Textil-Slipper pink, Textil;Textil;Material
Mega schwarz, Textil;Textil;Material
Sneaker blau, Synthetik;Synthetik;Material
Sneaker grau, Synthetik;Synthetik;Material
Kasai grün, Satin;Satin;Material
Kasai pink, Textil;Textil;Material
Obermaterial:Cupro=100%;Cupro;Material
Material:Cupro=100%;Cupro;Material
100% Polyacryl;Polyacryl;Material
100% Polyurethan;Polyurethan;Material
Obermaterial:Viskose=100%;Viskose;Material
Obermaterial:Baumwolle=100%;Baumwolle;Material
Material:Polyester=100%;Polyester;Material
100% Polyamid;Polyamid;Material
Kork;Kork;Material
aus kontrolliert biologischem Anbau;Bio-Baumwolle;Material
(aus kontrolliert biologischem Anbau);Bio-Baumwolle;Material
100% Polyester;Polyester;Material
100% Cotton;Baumwolle;Material
.*\d\d\d\%\sCotton.*;Baumwolle;Material
.*\d\d\d\%\sAcrylic.*;Acryl;Material
.*\d\d\d\%\sPolyester.*;Polyester;Material
.*\d\d\d\%\sViscose.*;Viskose;Material
.*\d\d\d\%\s100% TEXTILE.*;Textil;Material
.*\d\d\d\%\s100% Rubber.*;Gummi;Material
.*\d\d\d\%\s100% Acrylic.*;Acryl;Material
.*\d\d\d\%\s100% Polyurethane.*;Polyurethan;Material
.*\d\d\d\%\s100% Egyptian cotton.*;Baumwolle;Material
.*\d\d\d\%\s100% Fabric.*;Textil;Material
.*\d\d\d\%\s100% Nylon.*;Nylon;Material
.*\d\d\d\%\s100% Cotton Organic.*;Bio-Baumwolle;Material
.*\d\d\d\%\s100% Organic Cotton.*;Bio-Baumwolle;Material
.*\d\d\d\%\s100% Poly-viscose.*;Viskose;Material
.*\d\d\d\%\s100% viscose.*;Viskose;Material
.*\d\d\d\%\s100% Textile.*;Textil;Material
.*\d\d\d\%\s100% textile.*;Textil;Material
